,angry,disgust,fear,happy,neutral,sad,surprise
angry,586,15,77,35,126,90,29
disgust,31,66,6,1,4,0,3
fear,187,13,318,26,176,186,118
happy,74,2,33,1412,137,64,52
neutral,126,4,75,67,804,131,26
sad,226,7,139,56,294,509,16
surprise,21,3,74,33,21,8,671
