,precision,recall,f1-score,support
angry,0.46842525979216626,0.6116910229645094,0.5305568130375735,958.0
disgust,0.6,0.5945945945945946,0.5972850678733032,111.0
fear,0.4404432132963989,0.310546875,0.3642611683848797,1024.0
happy,0.8662576687116564,0.7959413754227734,0.8296122209165687,1774.0
neutral,0.5147247119078106,0.6520681265206812,0.5753130590339892,1233.0
sad,0.5151821862348178,0.4081796311146752,0.45548098434004475,1247.0
surprise,0.7333333333333333,0.8074608904933814,0.7686139747995419,831.0
accuracy,0.6082474226804123,0.6082474226804123,0.6082474226804123,0.6082474226804123
macro avg,0.591195196182312,0.5972117880158022,0.5887318983408429,7178.0
weighted avg,0.6115344259693556,0.6082474226804123,0.6039804385727787,7178.0
