,angry,disgust,fear,happy,neutral,sad,surprise
angry,506,65,71,37,157,72,50
disgust,25,72,4,0,3,6,1
fear,167,32,269,37,157,168,194
happy,78,16,47,1388,137,40,68
neutral,108,7,56,68,810,133,51
sad,209,36,123,88,377,379,35
surprise,29,8,59,28,29,7,671
