,angry,disgust,fear,happy,neutral,sad,surprise
angry,457,68,78,46,147,106,56
disgust,16,81,3,2,5,2,2
fear,133,51,214,50,182,191,203
happy,70,16,63,1346,146,46,87
neutral,93,18,54,80,792,125,71
sad,146,63,128,86,347,408,69
surprise,28,5,51,40,36,9,662
