,precision,recall,f1-score,support
angry,0.48462354188759277,0.477035490605428,0.4807995791688585,958.0
disgust,0.2682119205298013,0.7297297297297297,0.3922518159806295,111.0
fear,0.36209813874788493,0.208984375,0.265015479876161,1024.0
happy,0.8157575757575758,0.7587373167981961,0.7862149532710281,1774.0
neutral,0.47854984894259817,0.6423357664233577,0.5484764542936288,1233.0
sad,0.4599774520856821,0.3271852445870088,0.3823805060918463,1247.0
surprise,0.5756521739130435,0.7966305655836342,0.668349318525997,831.0
accuracy,0.5516857063248816,0.5516857063248816,0.5516857063248816,0.5516857063248816
macro avg,0.4921243788377398,0.5629483555324792,0.5033554438868785,7178.0
weighted avg,0.5508489987179861,0.5516857063248816,0.5403685385691404,7178.0
