,angry,disgust,fear,happy,neutral,sad,surprise
angry,490,7,83,47,102,184,45
disgust,21,64,6,4,5,10,1
fear,113,5,377,41,125,249,114
happy,75,1,56,1388,109,102,43
neutral,92,5,70,88,707,236,35
sad,145,6,106,73,197,697,23
surprise,32,1,63,37,28,32,638
