,angry,disgust,fear,happy,neutral,sad,surprise
angry,506,18,88,65,115,136,30
disgust,29,65,3,5,4,5,0
fear,134,12,341,65,146,231,95
happy,34,3,25,1514,109,60,29
neutral,85,5,60,90,783,186,24
sad,154,10,102,91,236,640,14
surprise,26,6,77,54,52,20,596
