,precision,recall,f1-score,support
angry,0.44981412639405205,0.37891440501043844,0.4113314447592068,958.0
disgust,0.43243243243243246,0.2882882882882883,0.34594594594594597,111.0
fear,0.4306306306306306,0.2333984375,0.3027232425585814,1024.0
happy,0.6517162471395881,0.8027057497181511,0.7193735791866633,1774.0
neutral,0.5265225933202358,0.43471208434712083,0.47623278542869835,1233.0
sad,0.4005681818181818,0.5653568564554932,0.46890588626538077,1247.0
surprise,0.6970474967907574,0.6534296028880866,0.6745341614906832,831.0
accuracy,0.5352465867929785,0.5352465867929785,0.5352465867929785,0.5352465867929785
macro avg,0.5126759583608397,0.47954363202965405,0.48557814937645144,7178.0
weighted avg,0.5299511941210839,0.5352465867929785,0.5225789087129731,7178.0
