,angry,disgust,fear,happy,neutral,sad,surprise
angry,363,15,80,119,101,244,36
disgust,29,32,3,21,5,21,0
fear,120,8,239,131,98,316,112
happy,77,4,36,1424,66,131,36
neutral,61,5,51,253,536,293,34
sad,111,8,76,165,164,705,18
surprise,46,2,70,72,48,50,543
