epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.18883532285690308,0.5759409070014954,0.0003000000142492354,1.9515531063079834,0.26563316583633423,0.6561130881309509,1.830798625946045
1,0.2476753294467926,0.6379581093788147,0.0003000000142492354,1.8461710214614868,0.2649364173412323,0.6754648089408875,1.7803921699523926
2,0.31083813309669495,0.696269690990448,0.0003000000142492354,1.7414008378982544,0.38878244161605835,0.753221869468689,1.6141891479492188
3,0.3594464361667633,0.7404813766479492,0.0003000000142492354,1.651757001876831,0.31109562516212463,0.7102630138397217,1.7505077123641968
4,0.3856009840965271,0.7621301412582397,0.0003000000142492354,1.6016420125961304,0.4319804906845093,0.8006369471549988,1.4890892505645752
5,0.40898770093917847,0.7783762216567993,0.0003000000142492354,1.5467578172683716,0.35446786880493164,0.7492337822914124,1.6465898752212524
6,0.4160783588886261,0.7883273363113403,0.0003000000142492354,1.5214134454727173,0.44626373052597046,0.8198047280311584,1.427143931388855
7,0.42802053689956665,0.7981298565864563,0.0003000000142492354,1.4901702404022217,0.4729141294956207,0.8286325931549072,1.3934186697006226
8,0.44179755449295044,0.8075205087661743,0.0003000000142492354,1.4564597606658936,0.48650062084198,0.8402402997016907,1.3597283363342285
9,0.45000776648521423,0.8126205205917358,0.0003000000142492354,1.43889319896698,0.44661208987236023,0.8156002759933472,1.442594051361084
10,0.4540506899356842,0.8171499967575073,0.0003000000142492354,1.4153835773468018,0.4770945906639099,0.8370242714881897,1.3577545881271362
11,0.46509096026420593,0.8239277601242065,0.0003000000142492354,1.3925635814666748,0.48092666268348694,0.8365917205810547,1.3668477535247803
12,0.47274139523506165,0.8289584517478943,0.0003000000142492354,1.368822455406189,0.4981710612773895,0.8521972894668579,1.3015629053115845
13,0.47159072756767273,0.8303221464157104,0.0003000000142492354,1.3713270425796509,0.4633339047431946,0.8292320370674133,1.3916809558868408
14,0.4760068356990814,0.8354290127754211,0.0003000000142492354,1.3389843702316284,0.5014805793762207,0.8530063629150391,1.305629849433899
15,0.48132482171058655,0.8394690752029419,0.0003000000142492354,1.3276786804199219,0.519770085811615,0.8681519031524658,1.2374114990234375
16,0.48648732900619507,0.8397144079208374,0.0003000000142492354,1.3251341581344604,0.5370144844055176,0.8721636533737183,1.2197967767715454
17,0.48773130774497986,0.8420617580413818,0.0003000000142492354,1.3168303966522217,0.5253440141677856,0.8688265681266785,1.234902024269104
18,0.4955994486808777,0.8465734124183655,0.0003000000142492354,1.2922465801239014,0.5277826189994812,0.8680734634399414,1.2386977672576904
19,0.494262158870697,0.8464319109916687,0.0003000000142492354,1.2979880571365356,0.5230795741081238,0.8611682057380676,1.2675682306289673
20,0.5076037645339966,0.853602409362793,0.0001500000071246177,1.2614561319351196,0.5316147208213806,0.871834933757782,1.2245630025863647
21,0.5141346454620361,0.857528567314148,0.0001500000071246177,1.2412292957305908,0.5291761159896851,0.8655039072036743,1.2492586374282837
22,0.5132949948310852,0.8584530353546143,0.0001500000071246177,1.237747311592102,0.5270859003067017,0.8699392676353455,1.2339856624603271
23,0.520447850227356,0.8636727333068848,7.500000356230885e-05,1.2070138454437256,0.5371886491775513,0.8707494735717773,1.2254241704940796
24,0.5187373757362366,0.8623032569885254,7.500000356230885e-05,1.2104817628860474,0.5450270175933838,0.8787147402763367,1.190083384513855
25,0.5244596600532532,0.8659681081771851,7.500000356230885e-05,1.203113079071045,0.5420658588409424,0.8782951831817627,1.1914438009262085
26,0.5268542766571045,0.8655709028244019,7.500000356230885e-05,1.196541428565979,0.5462462902069092,0.8776605725288391,1.1960375308990479
27,0.5246151685714722,0.8653364777565002,7.500000356230885e-05,1.2007066011428833,0.5488590598106384,0.8776475191116333,1.196366786956787
28,0.5267298817634583,0.8676022291183472,3.7500001781154424e-05,1.1801060438156128,0.5547813773155212,0.883554220199585,1.1683810949325562
29,0.530648410320282,0.8691931962966919,3.7500001781154424e-05,1.1777840852737427,0.551297664642334,0.8827056288719177,1.1740127801895142
30,0.5290934443473816,0.8697468638420105,3.7500001781154424e-05,1.1751389503479004,0.5500783920288086,0.881148099899292,1.1808643341064453
31,0.5331363677978516,0.8713415861129761,3.7500001781154424e-05,1.167109489440918,0.5526911616325378,0.8811002969741821,1.1816906929016113
32,0.5294977426528931,0.8697882890701294,1.8750000890577212e-05,1.176161289215088,0.5617488026618958,0.8850003480911255,1.161580204963684
33,0.5300264358520508,0.8714360594749451,1.8750000890577212e-05,1.1664808988571167,0.5587876439094543,0.8834786415100098,1.1700636148452759
34,0.5339760780334473,0.8721083402633667,1.8750000890577212e-05,1.160980224609375,0.5594844222068787,0.8852074146270752,1.161198377609253
35,0.5359353423118591,0.8722538948059082,1.8750000890577212e-05,1.159326195716858,0.557568371295929,0.8831567764282227,1.1710073947906494
36,0.5344736576080322,0.8721674084663391,1.8750000890577212e-05,1.1573169231414795,0.5591360330581665,0.8857090473175049,1.1582531929016113
37,0.533385157585144,0.8727900981903076,1.8750000890577212e-05,1.1601989269256592,0.5589618682861328,0.884979248046875,1.1618907451629639
38,0.5345669388771057,0.8713404536247253,1.8750000890577212e-05,1.172717809677124,0.5587876439094543,0.8839445114135742,1.1668468713760376
39,0.5354688167572021,0.8730473518371582,1.8750000890577212e-05,1.1616584062576294,0.5596585869789124,0.8847959637641907,1.16245698928833
40,0.537428081035614,0.8735650777816772,9.375000445288606e-06,1.1519783735275269,0.5614004731178284,0.885227620601654,1.1604899168014526
41,0.5356864929199219,0.8740360140800476,9.375000445288606e-06,1.1529300212860107,0.558439314365387,0.8843364119529724,1.1650422811508179
42,0.5387342572212219,0.8743614554405212,9.375000445288606e-06,1.1470242738723755,0.5589618682861328,0.8854260444641113,1.160400390625
43,0.5390452742576599,0.8732697367668152,4.687500222644303e-06,1.1543407440185547,0.5589618682861328,0.8846814036369324,1.1631598472595215
44,0.5358420014381409,0.8723930716514587,4.687500222644303e-06,1.156843662261963,0.5596585869789124,0.8858346939086914,1.1579103469848633
45,0.5378945469856262,0.8737366795539856,4.687500222644303e-06,1.1541131734848022,0.5615746378898621,0.8855246305465698,1.1597310304641724
46,0.5378012657165527,0.8732410669326782,4.687500222644303e-06,1.153194546699524,0.5612262487411499,0.8851801753044128,1.1609514951705933
47,0.5386720299720764,0.874609649181366,4.687500222644303e-06,1.1472433805465698,0.5612262487411499,0.8858940005302429,1.1575989723205566
48,0.5413777232170105,0.8740793466567993,4.687500222644303e-06,1.1551272869110107,0.5617488026618958,0.8854374885559082,1.159639596939087
49,0.5399160385131836,0.8729234337806702,4.687500222644303e-06,1.151307463645935,0.5601811408996582,0.8854260444641113,1.1597695350646973
