,precision,recall,f1-score,support
angry,0.45274725274725275,0.430062630480167,0.4411134903640257,958.0
disgust,0.3497536945812808,0.6396396396396397,0.45222929936305734,111.0
fear,0.5443548387096774,0.1318359375,0.21226415094339623,1024.0
happy,0.8008849557522124,0.7142051860202931,0.7550655542312277,1774.0
neutral,0.41325536062378165,0.6877534468775345,0.5162861491628615,1233.0
sad,0.4203961848862803,0.4595028067361668,0.43908045977011495,1247.0
surprise,0.7073170731707317,0.6979542719614922,0.7026044821320412,831.0
accuracy,0.5413764279743661,0.5413764279743661,0.5413764279743661,0.5413764279743661
macro avg,0.5269584800673168,0.5372791313164705,0.5026633694238178,7178.0
weighted avg,0.5673310371385786,0.5413764279743661,0.5290620562375508,7178.0
