,angry,disgust,fear,happy,neutral,sad,surprise
angry,412,41,23,54,217,179,32
disgust,12,71,2,5,11,10,0
fear,138,25,135,66,267,260,133
happy,90,12,16,1267,235,111,43
neutral,79,9,18,73,848,196,10
sad,141,37,34,76,364,573,22
surprise,38,8,20,41,110,34,580
