phase,epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
fine_tuning,15,0.47939667105674744,0.8340248465538025,1.350860595703125,0.545897901058197,0.8734771609306335,1.2186740636825562,9.999999747378752e-06
fine_tuning,16,0.5427460670471191,0.8722034692764282,1.1558290719985962,0.5483365058898926,0.8771224021911621,1.200783610343933,9.999999747378752e-06
fine_tuning,17,0.5860674977302551,0.8960685729980469,1.017136812210083,0.5847413539886475,0.8946579694747925,1.1213634014129639,9.999999747378752e-06
fine_tuning,18,0.6240087151527405,0.9155136346817017,0.9062187671661377,0.5852639079093933,0.8964001536369324,1.1131435632705688,9.999999747378752e-06
fine_tuning,19,0.6667081117630005,0.9325272440910339,0.8022128939628601,0.5939731597900391,0.8971140384674072,1.1178914308547974,9.999999747378752e-06
fine_tuning,20,0.7053646445274353,0.9473852515220642,0.7066178321838379,0.6138303279876709,0.9036362767219543,1.0974326133728027,9.999999747378752e-06
fine_tuning,21,0.7444876432418823,0.9595818519592285,0.618491530418396,0.6113917231559753,0.9005041718482971,1.1650136709213257,9.999999747378752e-06
fine_tuning,22,0.7832063436508179,0.9707897305488586,0.5220921635627747,0.6112175583839417,0.9020937085151672,1.13937246799469,9.999999747378752e-06
fine_tuning,23,0.8416420221328735,0.9834212064743042,0.39479348063468933,0.618707537651062,0.9012852907180786,1.2232695817947388,4.999999873689376e-06
fine_tuning,24,0.8622298240661621,0.9874404072761536,0.3434756398200989,0.6246298551559448,0.8991273045539856,1.2957168817520142,4.999999873689376e-06
fine_tuning,25,0.8939511775970459,0.992296040058136,0.2720969021320343,0.6213203072547913,0.897443950176239,1.3250118494033813,2.499999936844688e-06
fine_tuning,26,0.904120683670044,0.9935312271118164,0.25182628631591797,0.6255007982254028,0.8969258069992065,1.3476588726043701,2.499999936844688e-06
