,precision,recall,f1-score,support
angry,0.4483221476510067,0.348643006263048,0.39224897240164414,958.0
disgust,0.22162162162162163,0.7387387387387387,0.340956340956341,111.0
fear,0.38440111420612816,0.134765625,0.19956616052060738,1024.0
happy,0.7775842044134728,0.7547914317925591,0.7660183066361556,1774.0
neutral,0.4419672131147541,0.5466342254663422,0.4887599709934735,1233.0
sad,0.3926174496644295,0.46912590216519645,0.42747533796127146,1247.0
surprise,0.6525336091003102,0.7593261131167268,0.7018909899888766,831.0
accuracy,0.527027027027027,0.527027027027027,0.527027027027027,0.527027027027027
macro avg,0.47414962282453194,0.5360035775060873,0.4738451542083385,7178.0
weighted avg,0.5299454861647581,0.527027027027027,0.5148881439267186,7178.0
