,angry,disgust,fear,happy,neutral,sad,surprise
angry,334,99,59,67,140,215,44
disgust,11,82,2,3,3,8,2
fear,114,51,138,82,206,262,171
happy,65,28,28,1339,135,124,55
neutral,83,30,42,103,674,273,28
sad,114,68,44,87,313,585,36
surprise,24,12,46,41,54,23,631
