,precision,recall,f1-score,support
angry,0.5222551928783383,0.5511482254697286,0.5363128491620112,958.0
disgust,0.43506493506493504,0.6036036036036037,0.5056603773584906,111.0
fear,0.478330658105939,0.291015625,0.3618700667880996,1024.0
happy,0.8636089318044659,0.8066516347237881,0.8341591372777616,1774.0
neutral,0.5469187675070029,0.6334144363341444,0.5869973694099963,1233.0
sad,0.4625612316305108,0.5300721732157178,0.4940209267563528,1247.0
surprise,0.7545662100456622,0.7954271961492179,0.7744581136496778,831.0
accuracy,0.6167456115909724,0.6167456115909724,0.6167456115909724,0.6167456115909724
macro avg,0.580472275290979,0.6016189849280286,0.5847826914860557,7178.0
weighted avg,0.6197652184757017,0.6167456115909724,0.6134934262881502,7178.0
