,angry,disgust,fear,happy,neutral,sad,surprise
angry,528,36,66,37,125,149,17
disgust,29,67,5,1,3,5,1
fear,142,20,298,27,140,287,110
happy,59,5,37,1431,111,84,47
neutral,86,6,49,67,781,224,20
sad,144,18,94,62,248,661,20
surprise,23,2,74,32,20,19,661
