epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.15801586210727692,0.5528546571731567,0.003000000026077032,1.965886116027832,0.11182720959186554,0.5302804708480835,3.250014543533325
1,0.18373502790927887,0.5805686712265015,0.003000000026077032,1.9136602878570557,0.015154154039919376,0.41949063539505005,1.9597007036209106
2,0.11186441034078598,0.5014090538024902,0.003000000026077032,1.9432021379470825,0.1769726574420929,0.573671817779541,1.9188998937606812
3,0.17384544014930725,0.5565357804298401,0.003000000026077032,1.931466817855835,0.046855948865413666,0.5427278876304626,1.933322787284851
4,0.18093609809875488,0.5652910470962524,0.003000000026077032,1.9205703735351562,0.18568193912506104,0.5898186564445496,1.9218251705169678
5,0.18426372110843658,0.5878494381904602,0.003000000026077032,1.9021697044372559,0.14126458764076233,0.5212810039520264,1.9862444400787354
6,0.19698336720466614,0.624299943447113,0.001500000013038516,1.8534187078475952,0.1668698787689209,0.6063265800476074,1.8645713329315186
7,0.20967189967632294,0.6426161527633667,0.001500000013038516,1.8191537857055664,0.3011670410633087,0.6991751790046692,1.767956256866455
8,0.27323898673057556,0.6782585382461548,0.001500000013038516,1.7730369567871094,0.33809441328048706,0.7306427955627441,1.6855560541152954
9,0.31478774547576904,0.7088134288787842,0.001500000013038516,1.7126777172088623,0.29855427145957947,0.7010079622268677,1.760832667350769
10,0.3413465917110443,0.730144739151001,0.001500000013038516,1.659581184387207,0.40881380438804626,0.7838299870491028,1.53123140335083
11,0.36706578731536865,0.749380350112915,0.001500000013038516,1.6168103218078613,0.38860824704170227,0.7706781625747681,1.5814639329910278
12,0.38137146830558777,0.7636839151382446,0.001500000013038516,1.5743591785430908,0.4147361218929291,0.7889455556869507,1.5246422290802002
13,0.39244285225868225,0.7759687900543213,0.001500000013038516,1.5433063507080078,0.3880856931209564,0.7723371982574463,1.5651276111602783
14,0.3988804221153259,0.7807198762893677,0.001500000013038516,1.5154931545257568,0.4305869936943054,0.813130795955658,1.4473249912261963
15,0.40976521372795105,0.7898731827735901,0.001500000013038516,1.4948248863220215,0.4379028081893921,0.8169857859611511,1.4253931045532227
16,0.41918832063674927,0.7948645949363708,0.001500000013038516,1.467679500579834,0.4366835057735443,0.8136900663375854,1.4429333209991455
17,0.4210231602191925,0.8000607490539551,0.001500000013038516,1.4422038793563843,0.4507925510406494,0.8303337693214417,1.3802313804626465
18,0.4245685040950775,0.8017980456352234,0.001500000013038516,1.438983678817749,0.4649015963077545,0.8302667140960693,1.3881996870040894
19,0.4341782033443451,0.8085500001907349,0.001500000013038516,1.4153454303741455,0.46141788363456726,0.8240024447441101,1.4292998313903809
20,0.4377235174179077,0.811285138130188,0.001500000013038516,1.3944504261016846,0.44347673654556274,0.8153172731399536,1.428307056427002
21,0.453428715467453,0.822873592376709,0.000750000006519258,1.3465455770492554,0.4852813184261322,0.8480619788169861,1.314882516860962
22,0.4580936133861542,0.8273890018463135,0.000750000006519258,1.3248801231384277,0.49381640553474426,0.851816713809967,1.302287220954895
23,0.4631628096103668,0.8309752345085144,0.000750000006519258,1.3139710426330566,0.4962550103664398,0.8540059924125671,1.2922194004058838
