,angry,disgust,fear,happy,neutral,sad,surprise
angry,958,0,0,0,0,0,0
disgust,111,0,0,0,0,0,0
fear,1024,0,0,0,0,0,0
happy,1774,0,0,0,0,0,0
neutral,1233,0,0,0,0,0,0
sad,1247,0,0,0,0,0,0
surprise,831,0,0,0,0,0,0
