epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.15375524759292603,0.5275203585624695,0.0003000000142492354,2.170198440551758,0.1708761602640152,0.6122167706489563,1.8929741382598877
1,0.16134348511695862,0.5432599186897278,0.0003000000142492354,2.0409622192382812,0.1607733815908432,0.5449142456054688,2.3420417308807373
2,0.17020681500434875,0.5524640083312988,0.0003000000142492354,1.9823750257492065,0.23915694653987885,0.6617206335067749,1.8549443483352661
3,0.18600529432296753,0.5884851217269897,0.0003000000142492354,1.9369089603424072,0.14387737214565277,0.5536051392555237,1.9536975622177124
4,0.20674856007099152,0.6253946423530579,0.0003000000142492354,1.8480911254882812,0.25344017148017883,0.6941463947296143,1.756576657295227
5,0.3042139708995819,0.6988068222999573,0.0003000000142492354,1.7476822137832642,0.30674099922180176,0.7200137972831726,1.6896307468414307
6,0.34905925393104553,0.7377666234970093,0.0003000000142492354,1.6469782590866089,0.3344365060329437,0.726170539855957,1.6959456205368042
7,0.3806561827659607,0.769010066986084,0.0003000000142492354,1.5680367946624756,0.4558439254760742,0.819710910320282,1.4169296026229858
8,0.41318613290786743,0.7933341860771179,0.0003000000142492354,1.4946725368499756,0.4760494828224182,0.8398936986923218,1.350225806236267
9,0.4419219493865967,0.8125426769256592,0.0003000000142492354,1.426270842552185,0.45950183272361755,0.8352596163749695,1.3718290328979492
10,0.4578448235988617,0.8266328573226929,0.0003000000142492354,1.3641985654830933,0.44016721844673157,0.8057138323783875,1.5210117101669312
11,0.47327008843421936,0.8367171287536621,0.0003000000142492354,1.3152837753295898,0.4744817912578583,0.8437566757202148,1.3374584913253784
12,0.4832218885421753,0.8465757369995117,0.0003000000142492354,1.2711318731307983,0.4924229085445404,0.8511346578598022,1.31539785861969
13,0.4985849857330322,0.8530462384223938,0.0003000000142492354,1.237728238105774,0.5256924033164978,0.8705873489379883,1.225583553314209
14,0.5102783441543579,0.8604910373687744,0.0003000000142492354,1.1994775533676147,0.5317888855934143,0.8740643858909607,1.2072504758834839
15,0.5275384783744812,0.8705505132675171,0.0003000000142492354,1.148625135421753,0.5344016551971436,0.8701755404472351,1.231742262840271
16,0.5353444218635559,0.8744978904724121,0.0003000000142492354,1.1297699213027954,0.5579167604446411,0.8870550990104675,1.1518265008926392
17,0.5435857772827148,0.8800415992736816,0.0003000000142492354,1.0995967388153076,0.5570458173751831,0.8867121934890747,1.1581448316574097
18,0.5566163659095764,0.8858967423439026,0.0003000000142492354,1.0671905279159546,0.49294549226760864,0.8472785949707031,1.352368712425232
19,0.5688384175300598,0.8918543457984924,0.0003000000142492354,1.0367090702056885,0.5775997042655945,0.8953708410263062,1.1171141862869263
20,0.5785414576530457,0.8964655995368958,0.0003000000142492354,1.0103310346603394,0.5716773867607117,0.8917766809463501,1.1374752521514893
21,0.5820245742797852,0.8981102705001831,0.0003000000142492354,1.002626895904541,0.5748127698898315,0.895266056060791,1.1193755865097046
22,0.5920074582099915,0.902840793132782,0.0003000000142492354,0.979805052280426,0.5927538871765137,0.90535968542099,1.0603219270706177
23,0.602581262588501,0.9071471691131592,0.0003000000142492354,0.9579358100891113,0.5866574048995972,0.8998291492462158,1.1025607585906982
24,0.6170735359191895,0.9139813184738159,0.0003000000142492354,0.9128913879394531,0.6058177947998047,0.9073577523231506,1.0535739660263062
25,0.6150832176208496,0.9127681255340576,0.0003000000142492354,0.9277156591415405,0.6021599173545837,0.9076061248779297,1.056647539138794
26,0.6319701671600342,0.920354425907135,0.0003000000142492354,0.8812353014945984,0.5979794263839722,0.9042977690696716,1.0778840780258179
27,0.6364795565605164,0.9215318560600281,0.0003000000142492354,0.8739964962005615,0.6075596809387207,0.9082370400428772,1.0601738691329956
28,0.6583424210548401,0.9311857223510742,0.0001500000071246177,0.8156169652938843,0.6174882650375366,0.9136087894439697,1.0323346853256226
29,0.6770020127296448,0.9385702610015869,0.0001500000071246177,0.7638587951660156,0.6099982857704163,0.9099053740501404,1.0667529106140137
30,0.6890685558319092,0.9414924383163452,0.0001500000071246177,0.7435885071754456,0.6267200708389282,0.914532482624054,1.042784571647644
31,0.7011973261833191,0.9458011984825134,0.0001500000071246177,0.7153220772743225,0.6167914867401123,0.9150265455245972,1.0460994243621826
32,0.7153164148330688,0.9517921805381775,7.500000356230885e-05,0.6740175485610962,0.6288102865219116,0.9166806936264038,1.0444697141647339
33,0.7219405770301819,0.9535529017448425,7.500000356230885e-05,0.6627365946769714,0.6310747265815735,0.9156994223594666,1.0577805042266846
34,0.7345980405807495,0.956662118434906,7.500000356230885e-05,0.6363383531570435,0.632642388343811,0.9155187010765076,1.0649536848068237
35,0.7428393959999084,0.9601362347602844,3.7500001781154424e-05,0.6082636713981628,0.6359519362449646,0.9148426055908203,1.0721826553344727
36,0.7466645836830139,0.9609400629997253,3.7500001781154424e-05,0.6012636423110962,0.632642388343811,0.9150294661521912,1.08059561252594
