,angry,disgust,fear,happy,neutral,sad,surprise
angry,352,75,54,55,163,218,41
disgust,15,82,1,2,3,6,2
fear,119,47,164,69,220,240,165
happy,57,17,32,1354,136,112,66
neutral,66,38,42,96,714,249,28
sad,122,60,51,101,336,533,44
surprise,23,5,60,45,63,19,616
