,precision,recall,f1-score,support
angry,0.46684350132625996,0.3674321503131524,0.411214953271028,958.0
disgust,0.25308641975308643,0.7387387387387387,0.37701149425287356,111.0
fear,0.40594059405940597,0.16015625,0.22969187675070027,1024.0
happy,0.7862950058072009,0.7632468996617813,0.7745995423340961,1774.0
neutral,0.43669724770642204,0.5790754257907542,0.497907949790795,1233.0
sad,0.38707334785766156,0.42742582197273454,0.40625,1247.0
surprise,0.6403326403326404,0.7412755716004813,0.6871165644171779,831.0
accuracy,0.5314850933407634,0.5314850933407634,0.5314850933407634,0.5314850933407634
macro avg,0.48232410812038246,0.5396215511539489,0.4833989115452387,7178.0
weighted avg,0.5348486724434247,0.5314850933407634,0.5205690147829259,7178.0
