,precision,recall,f1-score,support
angry,0.5227272727272727,0.5281837160751566,0.5254413291796469,958.0
disgust,0.5462184873949579,0.5855855855855856,0.5652173913043478,111.0
fear,0.4899425287356322,0.3330078125,0.39651162790697675,1024.0
happy,0.8036093418259024,0.8534385569334837,0.8277747402952433,1774.0
neutral,0.5418685121107266,0.635036496350365,0.5847647498132935,1233.0
sad,0.5007824726134585,0.5132317562149158,0.5069306930693069,1247.0
surprise,0.7563451776649747,0.717208182912154,0.7362569487337863,831.0
accuracy,0.6192532738924491,0.6192532738924491,0.6192532738924491,0.6192532738924491
macro avg,0.5944991132961323,0.5950988723673801,0.591842497186086,7178.0
weighted avg,0.6143535194509764,0.6192532738924491,0.6137641759855647,7178.0
