,angry,disgust,fear,happy,neutral,sad,surprise
angry,498,11,97,64,95,148,45
disgust,19,60,7,6,7,11,1
fear,131,4,366,51,122,227,123
happy,94,3,43,1341,131,115,47
neutral,107,1,85,106,689,205,40
sad,158,5,141,96,225,587,35
surprise,28,0,63,45,38,18,639
