,angry,disgust,fear,happy,neutral,sad,surprise
angry,499,42,59,42,102,188,26
disgust,14,80,9,1,2,5,0
fear,134,22,290,47,91,318,122
happy,53,11,30,1446,106,71,57
neutral,77,12,46,81,713,282,22
sad,124,11,98,77,201,715,21
surprise,19,5,80,26,15,19,667
