,angry,disgust,fear,happy,neutral,sad,surprise
angry,296,7,58,64,138,379,16
disgust,12,43,5,5,4,42,0
fear,53,0,272,50,114,477,58
happy,31,2,26,1289,162,241,23
neutral,32,0,39,84,628,447,3
sad,55,0,53,66,175,887,11
surprise,19,0,129,41,73,90,479
