phase,epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
feature_extraction,0,0.2823511064052582,0.6708921790122986,1.9724171161651611,0.34541019797325134,0.7234290242195129,1.7452211380004883,0.0010000000474974513
feature_extraction,1,0.3349401354789734,0.7235422730445862,1.7549939155578613,0.35464203357696533,0.7365894317626953,1.7201710939407349,0.0010000000474974513
feature_extraction,2,0.3341004550457001,0.7251867055892944,1.746939778327942,0.3893049955368042,0.7717814445495605,1.5940698385238647,0.0010000000474974513
feature_extraction,3,0.3404447138309479,0.7308662533760071,1.7267825603485107,0.39069849252700806,0.7699271440505981,1.613737940788269,0.0010000000474974513
feature_extraction,4,0.33860984444618225,0.7311346530914307,1.7333545684814453,0.36735761165618896,0.7495081424713135,1.6744732856750488,0.0010000000474974513
feature_extraction,5,0.3518892824649811,0.7394983768463135,1.6739321947097778,0.39278870820999146,0.7677664160728455,1.6063799858093262,0.0005000000237487257
feature_extraction,6,0.35478153824806213,0.7439804673194885,1.6641789674758911,0.4055042564868927,0.7786529660224915,1.5715112686157227,0.0005000000237487257
feature_extraction,7,0.3582957684993744,0.7478519678115845,1.6379506587982178,0.4021947383880615,0.78010094165802,1.5687599182128906,0.0005000000237487257
feature_extraction,8,0.3615300953388214,0.7488855719566345,1.6407655477523804,0.3793764114379883,0.7528140544891357,1.646650791168213,0.0005000000237487257
feature_extraction,9,0.36149898171424866,0.7497919797897339,1.6239756345748901,0.3974917232990265,0.7717030644416809,1.5932761430740356,0.0005000000237487257
feature_extraction,10,0.3627118766307831,0.750714898109436,1.6263048648834229,0.40620100498199463,0.7845370173454285,1.5487267971038818,0.0002500000118743628
feature_extraction,11,0.37085989117622375,0.7571521997451782,1.6072341203689575,0.39905938506126404,0.7736002206802368,1.5812801122665405,0.0002500000118743628
feature_extraction,12,0.3692116439342499,0.7566168904304504,1.6077805757522583,0.3941822052001953,0.7760187387466431,1.5728254318237305,0.0002500000118743628
feature_extraction,13,0.3692116439342499,0.7586442232131958,1.5957216024398804,0.4027172923088074,0.7766521573066711,1.570225715637207,0.0001250000059371814
feature_extraction,14,0.3797232210636139,0.7620352506637573,1.5815165042877197,0.4025430977344513,0.7800848484039307,1.560628890991211,0.0001250000059371814
