,precision,recall,f1-score,support
angry,0.45726141078838173,0.5751565762004175,0.5094775774387424,958.0
disgust,0.5396825396825397,0.6126126126126126,0.5738396624472574,111.0
fear,0.44994499449944997,0.3994140625,0.4231764097258148,1024.0
happy,0.7958057395143487,0.8128523111612176,0.8042387060791969,1774.0
neutral,0.5688468158347676,0.5360908353609084,0.5519832985386222,1233.0
sad,0.5088082901554404,0.3937449879711307,0.44394213381555153,1247.0
surprise,0.6726726726726727,0.8086642599277978,0.7344262295081967,831.0
accuracy,0.5982167734745054,0.5982167734745054,0.5982167734745054,0.5982167734745054
macro avg,0.5704317804496573,0.591219377962012,0.5772977167933402,7178.0
weighted avg,0.5942222488778234,0.5982167734745054,0.5929684138407796,7178.0
