,angry,disgust,fear,happy,neutral,sad,surprise
angry,551,14,99,55,81,106,52
disgust,20,68,3,7,9,4,0
fear,157,11,409,50,110,153,134
happy,79,3,58,1442,88,53,51
neutral,142,6,107,119,661,144,54
sad,228,22,176,104,190,491,36
surprise,28,2,57,35,23,14,672
