phase,epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
fine_tuning,7,0.41334161162376404,0.789115309715271,1.5062973499298096,0.46159204840660095,0.8175942897796631,1.436826229095459,9.999999747378752e-06
fine_tuning,8,0.4552013576030731,0.8164957761764526,1.3901994228363037,0.48493292927742004,0.8370800018310547,1.3643977642059326,9.999999747378752e-06
fine_tuning,9,0.48116934299468994,0.8349968194961548,1.3077449798583984,0.49782267212867737,0.8443918228149414,1.3349173069000244,9.999999747378752e-06
fine_tuning,10,0.5082568526268005,0.8503434658050537,1.231735348701477,0.5105382204055786,0.851463794708252,1.3101557493209839,9.999999747378752e-06
fine_tuning,11,0.5252060294151306,0.862515389919281,1.1704916954040527,0.5131509900093079,0.8537654280662537,1.3009452819824219,9.999999747378752e-06
fine_tuning,12,0.5388586521148682,0.869993269443512,1.145028829574585,0.5276084542274475,0.8605729937553406,1.272497296333313,9.999999747378752e-06
fine_tuning,13,0.5380189418792725,0.8698750138282776,1.1504065990447998,0.5408465266227722,0.8715682625770569,1.2251837253570557,9.999999747378752e-06
fine_tuning,14,0.5544083118438721,0.8800661563873291,1.0942028760910034,0.5429367423057556,0.8735940456390381,1.2190052270889282,9.999999747378752e-06
fine_tuning,15,0.5735655426979065,0.889771044254303,1.0412918329238892,0.5506009459495544,0.8763383626937866,1.2069979906082153,9.999999747378752e-06
fine_tuning,16,0.5893329381942749,0.8977023363113403,0.996778666973114,0.5514718890190125,0.8775349855422974,1.2043733596801758,9.999999747378752e-06
fine_tuning,17,0.6064375638961792,0.905068039894104,0.9569573998451233,0.5549556016921997,0.8815287947654724,1.1847678422927856,9.999999747378752e-06
fine_tuning,18,0.6170424222946167,0.9113941788673401,0.9230769872665405,0.5620971918106079,0.8824878931045532,1.1821470260620117,9.999999747378752e-06
fine_tuning,19,0.6301041841506958,0.9172019958496094,0.8876031041145325,0.5514718890190125,0.8751416206359863,1.2296547889709473,9.999999747378752e-06
fine_tuning,20,0.6470222473144531,0.9234954714775085,0.8528279662132263,0.5629681348800659,0.8842164278030396,1.1872515678405762,9.999999747378752e-06
fine_tuning,21,0.6610169410705566,0.9314370155334473,0.804820716381073,0.5702839493751526,0.885955810546875,1.1794312000274658,4.999999873689376e-06
fine_tuning,22,0.6746073961257935,0.934995710849762,0.7841512560844421,0.571503221988678,0.8869627714157104,1.1783510446548462,4.999999873689376e-06
fine_tuning,23,0.6765044331550598,0.9365081191062927,0.7737024426460266,0.5702839493751526,0.8870929479598999,1.172824501991272,4.999999873689376e-06
fine_tuning,24,0.6879178881645203,0.9403128027915955,0.7518383860588074,0.5725483298301697,0.8888903856277466,1.1722991466522217,4.999999873689376e-06
fine_tuning,25,0.6946664452552795,0.9428523778915405,0.7352760434150696,0.5782964825630188,0.8876327872276306,1.1757569313049316,4.999999873689376e-06
fine_tuning,26,0.7010418176651001,0.9453299045562744,0.719572126865387,0.5769029855728149,0.8892966508865356,1.1717857122421265,4.999999873689376e-06
