,angry,disgust,fear,happy,neutral,sad,surprise
angry,338,45,50,112,105,273,35
disgust,23,51,0,13,3,20,1
fear,126,34,171,116,109,339,129
happy,77,18,17,1353,80,191,38
neutral,66,25,43,207,527,332,33
sad,91,39,56,151,168,727,15
surprise,54,8,47,65,57,68,532
