phase,epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
feature_extraction,0,0.2782149016857147,0.6674096584320068,1.9881033897399902,0.38564708828926086,0.7673190236091614,1.6045252084732056,0.0010000000474974513
feature_extraction,1,0.32847145199775696,0.7205096483230591,1.7700260877609253,0.38982754945755005,0.7790278196334839,1.5678446292877197,0.0010000000474974513
feature_extraction,2,0.3401026427745819,0.7308732271194458,1.7294058799743652,0.41839399933815,0.7885016798973083,1.5322175025939941,0.0010000000474974513
feature_extraction,3,0.3344425559043884,0.727810263633728,1.7359758615493774,0.4035882353782654,0.7769767045974731,1.5897284746170044,0.0010000000474974513
feature_extraction,4,0.33892086148262024,0.7307921648025513,1.7331453561782837,0.3934854567050934,0.7682655453681946,1.6228104829788208,0.0010000000474974513
feature_extraction,5,0.3502410054206848,0.7403960227966309,1.6754451990127563,0.3884340822696686,0.7721942663192749,1.5857359170913696,0.0005000000237487257
feature_extraction,6,0.354408323764801,0.7453173398971558,1.653725266456604,0.4034140408039093,0.7785477638244629,1.5662834644317627,0.0005000000237487257
feature_extraction,7,0.3694915175437927,0.7544714212417603,1.6113405227661133,0.38460198044776917,0.7660578489303589,1.6167047023773193,0.0002500000118743628
fine_tuning,8,0.3640802502632141,0.753177285194397,1.6209181547164917,0.4122975170612335,0.786315381526947,1.535050630569458,9.999999747378752e-06
fine_tuning,9,0.3931581377983093,0.7735074758529663,1.5508822202682495,0.4408639669418335,0.8058614730834961,1.4717366695404053,9.999999747378752e-06
fine_tuning,10,0.4116000533103943,0.7885940074920654,1.4967999458312988,0.45253440737724304,0.8175572752952576,1.4319912195205688,9.999999747378752e-06
fine_tuning,11,0.4263722598552704,0.7996219992637634,1.4635555744171143,0.45166346430778503,0.8171108365058899,1.4335829019546509,9.999999747378752e-06
fine_tuning,12,0.43591976165771484,0.8071969151496887,1.4375277757644653,0.476397842168808,0.8333727717399597,1.3758976459503174,9.999999747378752e-06
fine_tuning,13,0.4471777379512787,0.8155059218406677,1.3969801664352417,0.4781396985054016,0.8356885313987732,1.3685014247894287,9.999999747378752e-06
fine_tuning,14,0.4574405252933502,0.8217813372612,1.3786733150482178,0.47674620151519775,0.8315010666847229,1.384678840637207,9.999999747378752e-06
fine_tuning,15,0.46692582964897156,0.8276816606521606,1.3505758047103882,0.48911339044570923,0.8402796983718872,1.3562885522842407,9.999999747378752e-06
fine_tuning,16,0.47382989525794983,0.8345934152603149,1.3262385129928589,0.480229914188385,0.8381021022796631,1.3670538663864136,9.999999747378752e-06
fine_tuning,17,0.4800497591495514,0.8383934497833252,1.304483413696289,0.48771992325782776,0.8429564237594604,1.350356101989746,9.999999747378752e-06
fine_tuning,18,0.4879179000854492,0.8414039611816406,1.292030930519104,0.4993903636932373,0.851990282535553,1.3067317008972168,9.999999747378752e-06
fine_tuning,19,0.4968123137950897,0.8470920324325562,1.271420955657959,0.49608081579208374,0.8487980961799622,1.3239582777023315,9.999999747378752e-06
fine_tuning,20,0.5006375312805176,0.8500434160232544,1.2512232065200806,0.5122801065444946,0.857489287853241,1.2857024669647217,9.999999747378752e-06
fine_tuning,21,0.5040895938873291,0.8519596457481384,1.246004343032837,0.5164605379104614,0.8595549464225769,1.2809964418411255,9.999999747378752e-06
fine_tuning,22,0.5050225257873535,0.8540942072868347,1.2345649003982544,0.51349937915802,0.8600836992263794,1.2768316268920898,9.999999747378752e-06
fine_tuning,23,0.5151920318603516,0.8585705757141113,1.2158974409103394,0.5086221694946289,0.8557696342468262,1.2969014644622803,9.999999747378752e-06
fine_tuning,24,0.5176488757133484,0.8629016280174255,1.1902083158493042,0.5128026604652405,0.8600344657897949,1.2800450325012207,9.999999747378752e-06
fine_tuning,25,0.5270097851753235,0.8659272193908691,1.177198886871338,0.5291761159896851,0.8655980825424194,1.2554491758346558,4.999999873689376e-06
fine_tuning,26,0.5285647511482239,0.8684888482093811,1.1613807678222656,0.528305172920227,0.8664555549621582,1.252933144569397,4.999999873689376e-06
fine_tuning,27,0.5315191745758057,0.8684720993041992,1.1580618619918823,0.5293502807617188,0.8678080439567566,1.2512109279632568,4.999999873689376e-06
